Iteration,Inlet Monitor Point Temperature (°C),Outlet Monitor Point Temperature (°C),TPU Monitor Point Temperature (°C),VRM 1 Monitor Point Temperature (°C),VRM 2 Monitor Point Temperature (°C),VRM 3 Monitor Point Temperature (°C),VRM 4 Monitor Point Temperature (°C),HBM 1 Monitor Point Temperature (°C),HBM 2 Monitor Point Temperature (°C),HBM 3 Monitor Point Temperature (°C),HBM 4 Monitor Point Temperature (°C),HBM 5 Monitor Point Temperature (°C),HBM 6 Monitor Point Temperature (°C),HBM 7 Monitor Point Temperature (°C),HBM 8 Monitor Point Temperature (°C),Inlet Monitor Point Pressure (N/m2),Outlet Monitor Point Pressure (N/m2)
21,35.0,41.89228178812895,99.2753780477675,166.85629986890854,164.5050403461296,164.94624146612998,163.93804201449373,86.2455086202188,85.90082418925823,88.90535427145173,88.77692960832267,86.91638179291672,86.35901636096823,90.68615641805556,90.74791765004073,30102.898366355297,13456.617085481736
22,35.0,42.10968365234545,101.74792506959544,171.49420756241895,169.0355703156363,169.45886695778222,168.38632277694893,88.3390147334698,87.98969446789549,91.0969009153148,90.97076959793107,89.05701616123388,88.48820038159987,92.96039455707816,93.03054288207476,30262.966586939005,13403.731772572195
23,35.0,42.32025205913739,104.13805437364938,175.97712252709388,173.41470646692284,173.82069872416662,172.68596641534103,90.36280720106393,90.0090064771847,93.21544795165488,93.09153311541138,91.12635731626028,90.54647496293313,95.1588615705326,95.23711588369926,30418.12296522455,13353.072044976883
24,35.0,42.52429101807892,106.44860327889745,180.31031453220848,177.64759794687515,178.0368657992368,176.84202968219805,92.31929754769573,91.9611665341718,95.26351703865221,95.14174439516583,93.12686972405025,92.53629170831448,97.28417200779981,97.3702606259067,30568.60710523886,13304.638286118652
25,35.0,42.72207554459074,108.68229520284089,184.49885791868707,181.739202516852,182.1123065055315,180.85938104124347,94.2107976676675,93.84848150005205,97.24352651282125,97.12382426358509,95.06091644586422,94.46000124740767,99.33883398321994,99.43249432887052,30714.631775494978,13258.412061710716
26,35.0,42.913852118711816,110.84174296606994,188.5476376361438,185.69429245422472,186.05177433312062,184.74270646514532,96.03952265113097,95.67316160056146,99.15779433897009,99.04009309190201,96.9307620238817,96.31985610745738,101.32525223040065,101.42623052683734,30856.383295414074,13214.356237451037
27,35.0,43.0998396926008,112.92945255016919,192.46135564168932,189.5174608202249,189.85984418561614,188.49651560305134,97.80759407970928,97.43732371594507,101.00854152539415,100.89277421418211,98.73857583430166,98.11801405242468,103.24573161826254,103.35378259440134,30994.022472902037,13172.415656878062
28,35.0,43.280231195628005,114.94782726102987,196.24453761563134,193.21312804907475,193.54091894819814,192.12514827276956,99.51704374302035,99.1429950920157,102.7978959559633,102.68399776211402,100.48643585941748,99.856541841565,105.10248108059756,105.21736768594873,31127.686041860194,13132.51832786548
29,35.0,43.455195474718884,116.89917223831979,199.901539937786,196.7855488019708,197.099236321201,195.6327812210512,101.1698177163324,100.79211741252831,104.52789657946798,104.41580485696824,102.17633281896249,101.53741934772911,106.89761789961977,107.01911102876355,31257.488537212685,13094.577055046811
30,35.0,43.624879598769176,118.78569924291725,203.4365568590735,200.23881902045167,200.53887585376765,199.02343508639825,102.76778073065628,102.3865511641681,106.20049788765881,106.09015209016181,103.81017459209258,103.16254396673841,108.63317227505212,108.76105050134873,31383.52453619459,13058.491446631835
